Country,Score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Argentina,6.1880998611450195,6.3057355880737305,6.070464134216309,1.561747431755066,1.3813045024871826,0.5846506357192993,0.6807437539100647,0.08746586740016937,0.08045727014541626,1.8117308616638184
Kazakhstan,6.1875,6.278403282165527,6.096596717834473,1.6224950551986694,1.456644892692566,0.5555809736251831,0.732583224773407,0.14906246960163116,0.11975425481796265,1.5514111518859863
Cyprus,6.0680999755859375,6.181956768035889,5.954243183135986,1.7937989234924316,1.2169917821884155,0.7439913153648376,0.5287899374961853,0.1244955062866211,0.04917532578110695,1.6108894348144531
Japan,6.059800148010254,6.143789291381836,5.975811004638672,1.7857211828231812,1.3543787002563477,0.7848377227783203,0.6315183639526367,0.02275734767317772,0.21942955255508423,1.261197566986084
South Korea,6.0578999519348145,6.14760160446167,5.968198299407959,1.8149861097335815,1.1780478954315186,0.7696324586868286,0.5546760559082031,0.1263149529695511,0.15793220698833466,1.4562721252441406
Philippines,6.047599792480469,6.166341304779053,5.928858280181885,1.2319400310516357,1.1459598541259766,0.4412550628185272,0.8262783288955688,0.09868849068880081,0.13602666556835175,2.167491912841797
Vietnam,6.043000221252441,6.138236999511719,5.947763442993164,1.330500602722168,1.2670079469680786,0.5389198660850525,0.8425632119178772,0.09366714954376221,0.15998345613479614,1.8103132247924805
Portugal,6.029600143432617,6.134241580963135,5.9249587059021,1.7275601625442505,1.3677244186401367,0.6989501118659973,0.7566717863082886,0.046655792742967606,0.03534143790602684,1.3966994285583496
Hungary,6.016900062561035,6.1239447593688965,5.909855365753174,1.7220711708068848,1.5282142162322998,0.5957420468330383,0.5809268355369568,0.12265346199274063,0.06710804253816605,1.4001564979553223
Paraguay,5.976500034332275,6.08469820022583,5.868301868438721,1.3981411457061768,1.4080097675323486,0.5486299991607666,0.7875767946243286,0.13141517341136932,0.06529510021209717,1.6374273300170898
Thailand,5.976099967956543,6.094283103942871,5.857916831970215,1.4842075109481812,1.3467154502868652,0.619977593421936,0.7556785941123962,0.2826140224933624,0.02417569048702717,1.4627070426940918
Malaysia,5.975200176239014,6.077959060668945,5.872441291809082,1.6458711624145508,1.1434816122055054,0.5396227240562439,0.8285432457923889,0.22596591711044312,0.11904513835906982,1.4726829528808594
China,5.972700119018555,6.060537338256836,5.884862899780273,1.496848225593567,1.238689661026001,0.6289081573486328,0.7044063210487366,0.13181647658348083,0.16350486874580383,1.6084880828857422
Honduras,5.968400001525879,6.114418029785156,5.822381973266602,1.0906941890716553,1.0354576110839844,0.5022424459457397,0.7198793292045593,0.17533321678638458,0.080780990421772,2.3639707565307617
Bahrain,5.959099769592285,6.1525468826293945,5.765652656555176,,,,,,,
Croatia,5.942299842834473,6.047109127044678,5.837490558624268,1.7100956439971924,1.4447548389434814,0.6366000771522522,0.46918749809265137,0.0643128976225853,0.042858440428972244,1.5744729042053223
Greece,5.933599948883057,6.026942253112793,5.84025764465332,1.6839154958724976,1.2760926485061646,0.6961753368377686,0.33715590834617615,0.018166067078709602,0.09257389605045319,1.8295154571533203
Bosnia and Herzegovina,5.876999855041504,5.979413986206055,5.774585723876953,1.4647413492202759,1.3181260824203491,0.5874243378639221,0.6206379532814026,0.2463771551847458,0.0,1.6397371292114258
Libya,5.866300106048584,5.986828327178955,5.745771884918213,1.5256569385528564,1.0999952554702759,0.549694836139679,0.5917096734046936,0.11109723150730133,0.20356906950473785,1.784541130065918
Jamaica,5.841700077056885,6.059458255767822,5.623941898345947,1.2801949977874756,1.3238065242767334,0.5666369199752808,0.6469182372093201,0.089241161942482,0.028065191581845284,1.9068751335144043
